iter	RMSE
0	14.8184712
1	14.44436256
2	14.04355454
3	13.70530336
4	13.37861061
5	13.08451868
6	12.80745856
7	12.52644059
8	12.24046097
9	11.93320054
10	11.67352105
11	11.39793424
12	11.13800261
13	10.88057961
14	10.64408059
15	10.4123979
16	10.19140166
17	9.971659428
18	9.780188306
19	9.578056132
20	9.387515876
21	9.218317192
22	9.054208087
23	8.887091989
24	8.729242698
25	8.580914572
26	8.439079822
27	8.314722838
28	8.189890955
29	8.072263446
30	7.962812367
31	7.843753725
32	7.727442098
33	7.630554003
34	7.524683456
35	7.424314001
36	7.331030674
37	7.238668691
38	7.160895602
39	7.080764169
40	7.003326703
41	6.936017506
42	6.855438763
43	6.783884892
44	6.724348586
45	6.663664282
46	6.602813711
47	6.537764116
48	6.480908163
49	6.423580089
50	6.369498872
51	6.324201966
52	6.274715035
53	6.233900298
54	6.184193361
55	6.142191604
56	6.097697836
57	6.057863537
58	6.017282472
59	5.977257968
60	5.939816704
61	5.903400013
62	5.870951657
63	5.84159059
64	5.81300255
65	5.781812406
66	5.758373165
67	5.727499734
68	5.701524739
69	5.677072121
70	5.657432439
71	5.633838176
72	5.617024787
73	5.597068234
74	5.574576252
75	5.549106297
76	5.531817089
77	5.515810269
78	5.497229833
79	5.480691834
80	5.466926306
81	5.448200046
82	5.428841701
83	5.410486254
84	5.397168382
85	5.383475817
86	5.366816084
87	5.351937399
88	5.33444125
89	5.320076565
90	5.303993448
91	5.292787787
92	5.281101006
93	5.26874324
94	5.255138711
95	5.242486454
96	5.23121559
97	5.22211066
98	5.214898783
99	5.207276201
100	5.199169067
101	5.191379468
102	5.180460275
103	5.173543703
104	5.163634239
105	5.155742478
106	5.148890019
107	5.141345329
108	5.129099661
109	5.122983619
110	5.114380861
111	5.105077406
112	5.09520472
113	5.088984899
114	5.083515461
115	5.073529087
116	5.065571959
117	5.058316724
118	5.056481336
119	5.048033142
120	5.042373391
121	5.037545002
122	5.03244036
123	5.026684882
124	5.022314221
125	5.015814627
126	5.010540637
127	5.007900275
128	5.001124046
129	4.995323542
130	4.988940694
131	4.983466666
132	4.974854074
133	4.96796667
134	4.96220745
135	4.955562598
136	4.950162755
137	4.94571098
138	4.938918682
139	4.935175052
140	4.931305716
141	4.924862614
142	4.919422497
143	4.915272082
144	4.911559367
145	4.907926939
146	4.903645114
147	4.901745583
148	4.897725035
149	4.894460168
150	4.89335125
151	4.888539309
152	4.882979174
153	4.879143925
154	4.877332204
155	4.872393301
156	4.866417534
157	4.863831159
158	4.859990974
159	4.855905993
160	4.854389192
161	4.849538106
162	4.848573442
163	4.843139891
164	4.838070862
165	4.83373856
166	4.827549128
167	4.823226178
168	4.820143253
169	4.81660173
170	4.813169477
171	4.808501395
172	4.804160376
173	4.800950838
174	4.795647916
175	4.790976179
176	4.788835797
177	4.784792031
178	4.78088769
179	4.775375475
